type,index,value
breakpoint,0,-7.5
breakpoint,1,-7.0
breakpoint,2,-6.5
breakpoint,3,-6.0
breakpoint,4,-5.5
breakpoint,5,-5.0
breakpoint,6,-4.5
breakpoint,7,-4.0
breakpoint,8,-3.5
breakpoint,9,-3.0
breakpoint,10,-2.5
breakpoint,11,-2.0
breakpoint,12,-1.5
breakpoint,13,-1.0
breakpoint,14,-0.5
breakpoint,15,0.0
breakpoint,16,0.5
breakpoint,17,1.0492244958877563
breakpoint,18,1.5
breakpoint,19,2.0
breakpoint,20,2.5
breakpoint,21,3.0
breakpoint,22,3.5
breakpoint,23,4.0
breakpoint,24,4.5
breakpoint,25,5.0
breakpoint,26,5.5
breakpoint,27,6.0
breakpoint,28,6.5
breakpoint,29,7.0
breakpoint,30,7.5
slope,0,-0.009814662858843803
slope,1,-0.009814662858843803
slope,2,-0.009814662858843803
slope,3,-0.009814662858843803
slope,4,-0.009814662858843803
slope,5,-0.009814662858843803
slope,6,-0.04118606448173523
slope,7,-0.04118606448173523
slope,8,-0.04118606448173523
slope,9,-0.09487532079219818
slope,10,-0.09487532079219818
slope,11,-0.17188289761543274
slope,12,-0.0893164724111557
slope,13,0.014354996383190155
slope,14,0.16027317941188812
slope,15,0.31202998757362366
slope,16,0.710673987865448
slope,17,1.007021427154541
slope,18,1.0831007957458496
slope,19,1.0831007957458496
slope,20,1.0468329191207886
slope,21,1.0468329191207886
slope,22,1.0123612880706787
slope,23,1.0123612880706787
slope,24,1.0003927946090698
slope,25,1.0003927946090698
slope,26,1.0003927946090698
slope,27,1.0003927946090698
slope,28,1.0003927946090698
slope,29,1.0003927946090698
slope,30,1.0003927946090698
slope,31,1.0003927946090698
intercept,0,-0.07743658125400543
intercept,1,-0.07743658125400543
intercept,2,-0.07743658125400543
intercept,3,-0.07743658125400543
intercept,4,-0.07743658125400543
intercept,5,-0.07743658125400543
intercept,6,-0.23784486949443817
intercept,7,-0.23784486949443817
intercept,8,-0.23784486949443817
intercept,9,-0.4336482882499695
intercept,10,-0.4336482882499695
intercept,11,-0.6107996702194214
intercept,12,-0.43363356590270996
intercept,13,-0.29108941555023193
intercept,14,-0.15592962503433228
intercept,15,-0.052474215626716614
intercept,16,-0.008785918354988098
intercept,17,-0.14578913152217865
intercept,18,-0.2220502644777298
intercept,19,-0.2220502644777298
intercept,20,-0.14737625420093536
intercept,21,-0.14737625420093536
intercept,22,-0.052176088094711304
intercept,23,-0.052176088094711304
intercept,24,-0.005260780453681946
intercept,25,-0.005260780453681946
intercept,26,-0.005260780453681946
intercept,27,-0.005260780453681946
intercept,28,-0.005260780453681946
intercept,29,-0.005260780453681946
intercept,30,-0.005260780453681946
intercept,31,-0.005260780453681946
