type,index,value
breakpoint,0,-7.5
breakpoint,1,-7.0
breakpoint,2,-6.5
breakpoint,3,-6.0
breakpoint,4,-5.5
breakpoint,5,-5.0
breakpoint,6,-4.5
breakpoint,7,-4.0
breakpoint,8,-3.5
breakpoint,9,-3.0
breakpoint,10,-2.5
breakpoint,11,-2.0
breakpoint,12,-1.5
breakpoint,13,-1.0
breakpoint,14,-0.5
breakpoint,15,0.0
breakpoint,16,0.6220172047615051
breakpoint,17,1.0
breakpoint,18,1.3686697483062744
breakpoint,19,2.0
breakpoint,20,2.5
breakpoint,21,3.2184643745422363
breakpoint,22,3.5
breakpoint,23,4.0
breakpoint,24,4.5
breakpoint,25,5.0
breakpoint,26,5.5
breakpoint,27,6.0
breakpoint,28,6.5
breakpoint,29,7.0
breakpoint,30,7.5
slope,0,-0.00787392258644104
slope,1,-0.00787392258644104
slope,2,-0.00787392258644104
slope,3,-0.00787392258644104
slope,4,-0.00787392258644104
slope,5,-0.00787392258644104
slope,6,-0.03634607791900635
slope,7,-0.03634607791900635
slope,8,-0.03634607791900635
slope,9,-0.03634607791900635
slope,10,-0.03634607791900635
slope,11,-0.03634607791900635
slope,12,0.06783917546272278
slope,13,0.1650579273700714
slope,14,0.48138633370399475
slope,15,0.6280858516693115
slope,16,0.65062415599823
slope,17,0.2847048342227936
slope,18,0.08869583159685135
slope,19,-0.04984671622514725
slope,20,-0.04984671622514725
slope,21,-0.04984671622514725
slope,22,-0.00254608690738678
slope,23,-0.00254608690738678
slope,24,-0.00254608690738678
slope,25,-0.00254608690738678
slope,26,-0.00254608690738678
slope,27,-0.00254608690738678
slope,28,-0.00254608690738678
slope,29,-0.00254608690738678
slope,30,-0.00254608690738678
slope,31,-0.00254608690738678
intercept,0,-0.06222908943891525
intercept,1,-0.06222908943891525
intercept,2,-0.06222908943891525
intercept,3,-0.06222908943891525
intercept,4,-0.06222908943891525
intercept,5,-0.06222908943891525
intercept,6,-0.20122064650058746
intercept,7,-0.20122064650058746
intercept,8,-0.20122064650058746
intercept,9,-0.20122064650058746
intercept,10,-0.20122064650058746
intercept,11,-0.20122064650058746
intercept,12,0.02629527449607849
intercept,13,0.185243621468544
intercept,14,0.5225633978843689
intercept,15,0.597643256187439
intercept,16,0.5862405300140381
intercept,17,0.7706800699234009
intercept,18,0.9679678678512573
intercept,19,1.1676465272903442
intercept,20,1.1676465272903442
intercept,21,1.1676465272903442
intercept,22,1.015411138534546
intercept,23,1.015411138534546
intercept,24,1.015411138534546
intercept,25,1.015411138534546
intercept,26,1.015411138534546
intercept,27,1.015411138534546
intercept,28,1.015411138534546
intercept,29,1.015411138534546
intercept,30,1.015411138534546
intercept,31,1.015411138534546
