type,index,value
breakpoint,0,9.999999747378752e-05
breakpoint,1,0.031346875
breakpoint,2,0.06259375
breakpoint,3,0.093840625
breakpoint,4,0.1250875
breakpoint,5,0.15975844860076904
breakpoint,6,0.18758124999999998
breakpoint,7,0.21882812499999998
breakpoint,8,0.250075
breakpoint,9,0.281321875
breakpoint,10,0.31256875
breakpoint,11,0.343815625
breakpoint,12,0.37506249999999997
breakpoint,13,0.406309375
breakpoint,14,0.43755625
breakpoint,15,0.468803125
breakpoint,16,0.50005
breakpoint,17,0.531296875
breakpoint,18,0.56254375
breakpoint,19,0.593790625
breakpoint,20,0.6250375
breakpoint,21,0.656284375
breakpoint,22,0.68753125
breakpoint,23,0.718778125
breakpoint,24,0.7500249999999999
breakpoint,25,0.781271875
breakpoint,26,0.81251875
breakpoint,27,0.843765625
breakpoint,28,0.8750125
breakpoint,29,0.9169663190841675
breakpoint,30,0.93750625
slope,0,-43.47833251953125
slope,1,-43.47833251953125
slope,2,-5.787822723388672
slope,3,-5.787822723388672
slope,4,-5.787822723388672
slope,5,-5.787822723388672
slope,6,-1.8265628814697266
slope,7,-1.8265628814697266
slope,8,-1.8265628814697266
slope,9,-1.8265628814697266
slope,10,-1.8265628814697266
slope,11,-1.8265628814697266
slope,12,-1.8265628814697266
slope,13,-1.8265628814697266
slope,14,-1.8265628814697266
slope,15,-1.8265628814697266
slope,16,-1.8265628814697266
slope,17,-1.8265628814697266
slope,18,-1.8265628814697266
slope,19,-1.8265628814697266
slope,20,-1.8265628814697266
slope,21,-1.8265628814697266
slope,22,-1.8265628814697266
slope,23,-1.8265628814697266
slope,24,-1.8265628814697266
slope,25,-1.8265628814697266
slope,26,-1.8265628814697266
slope,27,-1.8265628814697266
slope,28,-1.8265628814697266
slope,29,-1.8265628814697266
slope,30,-3.7087483406066895
slope,31,-3.7087483406066895
intercept,0,3.690460443496704
intercept,1,3.690460443496704
intercept,2,2.7474966049194336
intercept,3,2.7474966049194336
intercept,4,2.7474966049194336
intercept,5,2.7474966049194336
intercept,6,2.114651679992676
intercept,7,2.114651679992676
intercept,8,2.114651679992676
intercept,9,2.114651679992676
intercept,10,2.114651679992676
intercept,11,2.114651679992676
intercept,12,2.114651679992676
intercept,13,2.114651679992676
intercept,14,2.114651679992676
intercept,15,2.114651679992676
intercept,16,2.114651679992676
intercept,17,2.114651679992676
intercept,18,2.114651679992676
intercept,19,2.114651679992676
intercept,20,2.114651679992676
intercept,21,2.114651679992676
intercept,22,2.114651679992676
intercept,23,2.114651679992676
intercept,24,2.114651679992676
intercept,25,2.114651679992676
intercept,26,2.114651679992676
intercept,27,2.114651679992676
intercept,28,2.114651679992676
intercept,29,2.114651679992676
intercept,30,3.8405511379241943
intercept,31,3.8405511379241943
