idx,seg,x_hex,x_fp,hw_hex,hw_fp,gold_hex,gold_fp,abs_err
0,0,0xa7ff,-8.0,0x0c50,0.001129150390625,0x0c30,0.001068115234375,6.103515625e-05
1,2,0xaa49,-6.86,0xead0,-0.01012420654296875,0xeacc,-0.01015472412109375,3.0517578125e-05
2,4,0xac92,-5.71,0xe689,-0.021331787109375,0xe687,-0.0213623046875,3.0517578125e-05
3,6,0xaedb,-4.57,0xe1aa,-0.049468994140625,0xe1a5,-0.04962158203125,0.000152587890625
4,9,0xb249,-3.43,0xda1e,-0.108428955078125,0xda1d,-0.10845947265625,3.0517578125e-05
5,11,0xb6db,-2.29,0xd210,-0.21771240234375,0xd20f,-0.2177734375,6.103515625e-05
6,13,0xbedb,-1.14,0xce29,-0.307373046875,0xce29,-0.307373046875,0.0
7,16,0x0000,0.0,0xeb80,-0.00878143310546875,0xeb81,-0.0087738037109375,7.62939453125e-06
8,18,0x4125,1.14,0x4020,1.015625,0x4021,1.01611328125,0.00048828125
9,20,0x4925,2.29,0x48fc,2.24609375,0x48fc,2.24609375,0.0
10,22,0x4db7,3.43,0x4dac,3.41796875,0x4dac,3.41796875,0.0
11,25,0x5125,4.57,0x5124,4.5703125,0x5123,4.568359375,0.001953125
12,27,0x536e,5.71,0x536c,5.7109375,0x536d,5.712890625,0.001953125
13,29,0x55b7,6.86,0x55b6,6.85546875,0x55b6,6.85546875,0.0
14,31,0x5800,8.0,0x5800,8.0,0x57ff,7.998046875,0.001953125
