idx,seg,x_hex,x_fp,hw_hex,hw_fp,gold_hex,gold_fp,abs_err
0,1,0x06a3,0.0001,0x4ebf,3.6865234375,0x4ebf,3.6865234375,0.0
1,3,0x2128,0.071521,0x4955,2.3330078125,0x4955,2.3330078125,0.0
2,5,0x2926,0.142943,0x475c,1.919921875,0x475c,1.919921875,0.0
3,7,0x2db8,0.214364,0x45c9,1.72314453125,0x45c8,1.72265625,0.00048828125
4,10,0x3125,0.285786,0x44bd,1.59228515625,0x44bd,1.59228515625,0.0
5,12,0x336e,0.357207,0x43b2,1.4619140625,0x43b2,1.4619140625,0.0
6,14,0x35b7,0.428629,0x42a7,1.33154296875,0x42a7,1.33154296875,0.0
7,17,0x3800,0.50005,0x419c,1.201171875,0x419c,1.201171875,0.0
8,19,0x3925,0.571471,0x4090,1.0703125,0x4090,1.0703125,0.0
9,21,0x3a49,0.642893,0x3f0c,0.9404296875,0x3f0c,0.9404296875,0.0
10,23,0x3b6e,0.714314,0x3cf4,0.8095703125,0x3cf5,0.809814453125,0.000244140625
11,26,0x3c92,0.785736,0x3ade,0.67919921875,0x3adf,0.679443359375,0.000244140625
12,28,0x3db7,0.857157,0x38c8,0.548828125,0x38c8,0.548828125,0.0
13,30,0x3edb,0.928579,0x34b8,0.3974609375,0x34bd,0.3980712890625,0.0006103515625
14,31,0x4000,1.0,0x2870,0.1318359375,0x2880,0.1328125,0.0009765625
